Country,Year,female_population,Female deaths,ICCS - CRIME DEFINITION,UNIT,Value,per100k
Cyprus,2020,453534.0,3083.0,Sexual assault,Number,,
Cyprus,2021,458357.0,,Intentional homicide,Number,7.0,1.5
Denmark,2012,2813740.0,26349.0,Intentional homicide,Number,16.0,0.6
Denmark,2012,2813740.0,26349.0,Rape,Number,747.0,26.5
Denmark,2012,2813740.0,26349.0,Sexual assault,Number,869.0,30.9
Denmark,2013,2823776.0,26264.0,Intentional homicide,Number,13.0,0.5
Denmark,2013,2823776.0,26264.0,Rape,Number,685.0,24.3
Denmark,2013,2823776.0,26264.0,Sexual assault,Number,849.0,30.1
Denmark,2014,2834956.0,25577.0,Intentional homicide,Number,31.0,1.1
Denmark,2014,2834956.0,25577.0,Rape,Number,699.0,24.7
Denmark,2014,2834956.0,25577.0,Sexual assault,Number,1283.0,45.3
Denmark,2015,2848701.0,26216.0,Intentional homicide,Number,24.0,0.8
Denmark,2015,2848701.0,26216.0,Rape,Number,839.0,29.5
Denmark,2015,2848701.0,26216.0,Sexual assault,Number,1263.0,44.3
Denmark,2016,2869364.0,26355.0,Intentional homicide,Number,23.0,0.8
Denmark,2016,2869364.0,26355.0,Rape,Number,1168.0,40.7
Denmark,2016,2869364.0,26355.0,Sexual assault,Number,1759.0,61.3
Denmark,2017,2888591.0,26366.0,Intentional homicide,Number,20.0,0.7
Denmark,2017,2888591.0,26366.0,Rape,Number,1439.0,49.8
Denmark,2017,2888591.0,26366.0,Sexual assault,Number,1814.0,62.8
Denmark,2018,2904717.0,27181.0,Intentional homicide,Number,20.0,0.7
Denmark,2018,2904717.0,27181.0,Rape,Number,1687.0,58.1
Denmark,2018,2904717.0,27181.0,Sexual assault,Number,2010.0,69.2
Denmark,2019,2917008.0,26410.0,Intentional homicide,Number,27.0,0.9
Denmark,2019,2917008.0,26410.0,Rape,Number,1811.0,62.1
Denmark,2019,2917008.0,26410.0,Sexual assault,Number,2308.0,79.1
Denmark,2020,2925845.0,,Intentional homicide,Number,17.0,0.6
Denmark,2020,2925845.0,,Rape,Number,1728.0,59.1
Denmark,2020,2925845.0,,Sexual assault,Number,2457.0,84.0
Estonia,2012,707079.0,7854.0,Intentional homicide,Number,17.0,2.4
Estonia,2012,707079.0,7854.0,Rape,Number,,
Estonia,2012,707079.0,7854.0,Sexual assault,Number,,
Estonia,2013,704007.0,8050.0,Intentional homicide,Number,18.0,2.6
Estonia,2013,704007.0,8050.0,Rape,Number,,
Estonia,2013,704007.0,8050.0,Sexual assault,Number,,
Estonia,2014,700900.0,8011.0,Intentional homicide,Number,9.0,1.3
Estonia,2014,700900.0,8011.0,Rape,Number,,
Estonia,2014,700900.0,8011.0,Sexual assault,Number,,
Estonia,2015,700166.0,8060.0,Intentional homicide,Number,10.0,1.4
Estonia,2015,700166.0,8060.0,Rape,Number,,
Estonia,2015,700166.0,8060.0,Sexual assault,Number,,
Estonia,2016,699236.0,8007.0,Intentional homicide,Number,9.0,1.3
Estonia,2016,699236.0,8007.0,Rape,Number,,
Estonia,2016,699236.0,8007.0,Sexual assault,Number,,
Estonia,2017,698097.0,8158.0,Intentional homicide,Number,8.0,1.1
Estonia,2017,698097.0,8158.0,Rape,Number,,
Estonia,2017,698097.0,8158.0,Sexual assault,Number,,
Estonia,2018,698049.0,8269.0,Intentional homicide,Number,5.0,0.7
Estonia,2018,698049.0,8269.0,Rape,Number,,
Estonia,2018,698049.0,8269.0,Sexual assault,Number,,
Estonia,2019,699185.0,8068.0,Intentional homicide,Number,6.0,0.9
Estonia,2019,699185.0,8068.0,Rape,Number,,
Estonia,2019,699185.0,8068.0,Sexual assault,Number,,
Estonia,2020,699699.0,,Intentional homicide,Number,10.0,1.4
Estonia,2020,699699.0,,Rape,Number,,
Estonia,2020,699699.0,,Sexual assault,Number,,
Finland,2012,2748733.0,26084.0,Intentional homicide,Number,40.0,1.5
Finland,2012,2748733.0,26084.0,Rape,Number,921.0,33.5
Finland,2012,2748733.0,26084.0,Sexual assault,Number,1446.0,52.6
Finland,2013,2760052.0,25841.0,Intentional homicide,Number,24.0,0.9
Finland,2013,2760052.0,25841.0,Rape,Number,869.0,31.5
Finland,2013,2760052.0,25841.0,Sexual assault,Number,1375.0,49.8
Finland,2014,2770906.0,26438.0,Intentional homicide,Number,27.0,1.0
Finland,2014,2770906.0,26438.0,Rape,Number,892.0,32.2
Finland,2014,2770906.0,26438.0,Sexual assault,Number,1100.0,39.7
Finland,2015,2779890.0,26500.0,Intentional homicide,Number,16.0,0.6
Finland,2015,2779890.0,26500.0,Rape,Number,937.0,33.7
Finland,2015,2779890.0,26500.0,Sexual assault,Number,1466.0,52.7
Finland,2016,2785818.0,27001.0,Intentional homicide,Number,22.0,0.8
Finland,2016,2785818.0,27001.0,Rape,Number,1016.0,36.5
Finland,2016,2785818.0,27001.0,Sexual assault,Number,1710.0,61.4
Finland,2017,2790970.0,26827.0,Intentional homicide,Number,30.0,1.1
Finland,2017,2790970.0,26827.0,Rape,Number,1096.0,39.3
Finland,2017,2790970.0,26827.0,Sexual assault,Number,1539.0,55.1
Finland,2018,2793999.0,27343.0,Intentional homicide,Number,24.0,0.9
Finland,2018,2793999.0,27343.0,Rape,Number,1199.0,42.9
Finland,2018,2793999.0,27343.0,Sexual assault,Number,1860.0,66.6
Finland,2019,2794629.0,26867.0,Intentional homicide,Number,30.0,1.1
Finland,2019,2794629.0,26867.0,Rape,Number,1310.0,46.9
Finland,2019,2794629.0,26867.0,Sexual assault,Number,2140.0,76.6
Finland,2020,2797030.0,27523.0,Intentional homicide,Number,,
Finland,2020,2797030.0,27523.0,Rape,Number,1352.0,48.3
Finland,2020,2797030.0,27523.0,Sexual assault,Number,2162.0,77.3
France,2012,33671600.0,283339.0,Intentional homicide,Number,,
