Country,Year,Population,female_population,Female deaths,ICSS CRIME,LEGAL STATUS OF PERPETRATOR,Value,per_100k
Bulgaria,2017,7101859,3651881.0,52475.0,Intentional homicide,Suspected person,85.0,2.5
Bulgaria,2017,7101859,3651881.0,52475.0,Intentional homicide,Prosecuted person,,
Bulgaria,2017,7101859,3651881.0,52475.0,Intentional homicide,Convicted person,74.0,2.1
Bulgaria,2017,7101859,3651881.0,52475.0,Rape,Suspected person,58.0,1.7
Bulgaria,2017,7101859,3651881.0,52475.0,Rape,Prosecuted person,,
Bulgaria,2017,7101859,3651881.0,52475.0,Rape,Convicted person,47.0,1.4
Bulgaria,2017,7101859,3651881.0,52475.0,Sexual assault,Suspected person,345.0,10.0
Bulgaria,2017,7101859,3651881.0,52475.0,Sexual assault,Prosecuted person,,
Bulgaria,2017,7101859,3651881.0,52475.0,Sexual assault,Convicted person,80.0,2.3
Bulgaria,2018,7050034,3627625.0,51583.0,Intentional homicide,Suspected person,108.0,3.2
Bulgaria,2018,7050034,3627625.0,51583.0,Intentional homicide,Prosecuted person,,
Bulgaria,2018,7050034,3627625.0,51583.0,Intentional homicide,Convicted person,62.0,1.8
Bulgaria,2018,7050034,3627625.0,51583.0,Rape,Suspected person,68.0,2.0
Bulgaria,2018,7050034,3627625.0,51583.0,Rape,Prosecuted person,,
Bulgaria,2018,7050034,3627625.0,51583.0,Rape,Convicted person,65.0,1.9
Bulgaria,2018,7050034,3627625.0,51583.0,Sexual assault,Suspected person,352.0,10.3
Bulgaria,2018,7050034,3627625.0,51583.0,Sexual assault,Prosecuted person,,
Bulgaria,2018,7050034,3627625.0,51583.0,Sexual assault,Convicted person,80.0,2.3
Bulgaria,2019,7000039,3604338.0,51331.0,Intentional homicide,Suspected person,109.0,3.2
Bulgaria,2019,7000039,3604338.0,51331.0,Intentional homicide,Prosecuted person,,
Bulgaria,2019,7000039,3604338.0,51331.0,Intentional homicide,Convicted person,55.0,1.6
Bulgaria,2019,7000039,3604338.0,51331.0,Rape,Suspected person,73.0,2.1
Bulgaria,2019,7000039,3604338.0,51331.0,Rape,Prosecuted person,,
Bulgaria,2019,7000039,3604338.0,51331.0,Rape,Convicted person,40.0,1.2
Bulgaria,2019,7000039,3604338.0,51331.0,Sexual assault,Suspected person,319.0,9.4
Bulgaria,2019,7000039,3604338.0,51331.0,Sexual assault,Prosecuted person,,
Bulgaria,2019,7000039,3604338.0,51331.0,Sexual assault,Convicted person,90.0,2.7
Bulgaria,2020,6951482,3581836.0,58077.0,Intentional homicide,Suspected person,64.0,1.9
Bulgaria,2020,6951482,3581836.0,58077.0,Intentional homicide,Prosecuted person,,
Bulgaria,2020,6951482,3581836.0,58077.0,Intentional homicide,Convicted person,37.0,1.1
Bulgaria,2020,6951482,3581836.0,58077.0,Rape,Suspected person,73.0,2.2
Bulgaria,2020,6951482,3581836.0,58077.0,Rape,Prosecuted person,,
Bulgaria,2020,6951482,3581836.0,58077.0,Rape,Convicted person,51.0,1.5
Bulgaria,2020,6951482,3581836.0,58077.0,Sexual assault,Suspected person,330.0,9.8
Bulgaria,2020,6951482,3581836.0,58077.0,Sexual assault,Prosecuted person,,
Bulgaria,2020,6951482,3581836.0,58077.0,Sexual assault,Convicted person,111.0,3.3
Croatia,2012,4275984,2213675.0,26099.0,Intentional homicide,Suspected person,49.0,2.4
Croatia,2012,4275984,2213675.0,26099.0,Intentional homicide,Prosecuted person,2.0,0.1
Croatia,2012,4275984,2213675.0,26099.0,Intentional homicide,Convicted person,41.0,2.0
Croatia,2012,4275984,2213675.0,26099.0,Rape,Suspected person,103.0,5.0
